GEOID,total_hhsE,no_vehE,avg_hh_sizeE,hh_1personE,hh_2personE,hh_3personE,hh_4person_plusE,inc_quint_1,inc_quint_2,inc_quint_3,inc_quint_4,inc_quint_5,inc_lt_10kE,inc_btw_10k_15kE,inc_btw_15k_20kE,inc_btw_20k_25kE,inc_btw_25k_30kE,inc_btw_30k_35kE,inc_btw_35k_40kE,inc_btw_40k_45kE,inc_btw_45k_50kE,inc_btw_50k_60kE,inc_btw_60k_75kE,inc_btw_75k_100kE,inc_btw_100k_125kE,inc_btw_125k_150kE,inc_btw_150k_200kE,inc_gt_200kE,total_emp,basic_emp,retail_emp,service_emp,hbo_prod,hbw_prod,nhb_prod,hbo_attr,hbw_attr,nhb_attr,hbo_attr_bal,hbw_attr_bal,nhb_attr_bal
49035103800,981,21,2.49,302,310,138,231,126,219,138,221,277,23,0,36,10,11,46,14,35,10,63,97,138,90,131,141,136,438,22,26,390,4800.035438414544,1027.624829704717,2726.720323497192,2285.5,525.6,1267.8000000000002,1825.884594615772,259.9619960586667,1029.0812581864593
49035111201,1116,38,2.58,374,303,188,251,197,239,166,341,173,30,50,43,30,16,28,19,13,71,54,82,166,171,170,69,104,1230,272,176,782,5374.75363002819,1118.5232195775147,2699.601262547622,5187,1476,2727.6000000000004,4143.891223921247,730.0302629044751,2214.010127645833
49035113020,5835,134,3.68,922,1096,831,2986,372,1502,826,1648,1487,39,0,55,136,63,79,0,139,96,494,773,826,1152,496,690,797,2401,351,168,1882,35741.04688195026,7677.595277433994,18428.489478324915,12328.4,2881.2,7100.9,9849.15144881255,1425.042814011093,5763.845327540802
49035103100,1877,239,2.35,736,535,317,289,568,567,235,314,193,90,158,83,124,83,30,58,25,70,178,236,235,179,135,126,67,1607,40,29,1538,8334.20580485012,1632.746912971427,4227.380890039853,6968.5,1928.3999999999999,3435.7,5567.130517427262,953.7875060873913,2788.7793648455736
49035112501,1602,78,2.71,443,490,295,374,367,575,232,311,117,69,51,67,51,100,29,118,115,31,182,129,232,161,150,53,64,989,145,402,442,8096.983535404674,1635.9600590495934,4007.8429823911133,6146.7,1186.8,3541.8999999999996,4910.594984784409,586.9918130183137,2874.9825748309036
49035101102,2161,202,1.7,1123,732,244,62,661,752,220,250,278,190,15,87,62,205,102,191,87,89,187,198,220,229,21,204,74,382,30,1,351,7789.622608466372,1588.560532335223,4408.345582138645,2770.6,458.4,1807.6999999999998,2213.430696933913,226.72484587764998,1467.321494260658
49035103200,2154,343,1.87,1224,461,287,182,720,657,357,293,127,154,298,48,52,112,56,67,82,148,174,186,357,272,21,82,45,6775,37,93,6645,7806.347388669705,1459.6434955591715,4146.053263804828,25572.4,8130,11051,20429.775194641163,4021.1016513640807,8970.16641758839
49035112819,2405,13,3.42,181,825,392,1007,173,611,247,419,955,86,0,20,18,32,17,112,83,45,129,242,247,228,191,415,540,5181,986,947,3248,14859.667831608607,3211.0304021901306,8438.699654340644,21696.5,6217.2,10934.1,17333.320983190155,3075.029912282996,8875.27795009983
49035112610,2193,109,2.68,505,737,413,538,589,562,273,588,181,156,114,78,53,23,165,83,63,48,98,270,273,291,297,139,42,795,296,86,413,11499.982530541018,2295.1793874078003,5255.888982416843,3910.2,954,2446.2,3123.8564611098627,471.8488284626485,1985.595972373968
49035101800,1712,301,2.07,711,627,257,117,698,531,172,142,169,243,96,77,122,42,118,54,21,55,133,268,172,92,50,63,106,2070,172,553,1345,7032.4955901752155,1309.0061715595923,3585.277276099354,10671.5,2484,5595.3,8525.455021414225,1228.5875156197262,4541.740309142369
49035112503,1826,39,2.7,482,557,309,478,361,776,251,279,159,93,80,46,45,36,61,104,104,41,237,290,251,178,101,116,43,1136,590,75,471,9402.517487244,1942.8867344460164,4837.322191014048,3969.7,1363.2,2402.5,3171.390975824209,674.2393322434826,1950.1244066832057
49035113536,1084,56,4.09,86,234,234,530,214,323,231,185,131,7,14,56,66,16,55,41,9,4,135,134,231,131,54,109,22,1068,66,410,592,6970.69221367305,1349.2222961689527,3412.6932757715695,6321,1281.6,3439.2,5049.8431514182,633.8799355951052,2791.6203369260693
49035113308,1545,174,3.49,310,351,242,642,382,763,186,155,59,21,63,96,54,75,73,106,70,111,210,266,186,118,37,14,45,1163,100,130,933,8882.62122546605,1789.9366354592814,4296.235942196987,5509,1395.6,2894.2,4401.136832963592,690.2643867950443,2349.2403986774334
49035112913,1447,0,3.63,177,465,176,629,135,409,346,297,260,37,0,48,8,17,25,44,46,0,95,224,346,138,159,169,91,533,72,77,384,8690.816420730258,1786.9205623064863,4533.808228108466,3054.1,639.6,1803.6999999999998,2439.918678808151,316.34644725860585,1464.0746690258056
49035101900,1561,527,1.52,1002,452,61,46,682,500,120,141,118,362,10,65,43,108,94,52,68,71,162,147,120,100,41,46,72,5479,352,472,4655,4834.469139268837,920.2038859186345,2493.053669851167,21596.4,6574.8,9848,17253.35115255308,3251.8990328891214,7993.683728206541
49035113513,2021,199,2.98,548,566,247,660,379,1005,297,232,108,0,19,111,119,97,33,115,207,108,209,366,297,151,81,49,59,3547,179,939,2429,10569.129501981133,2203.7538080355134,5422.544055401557,17929.1,4256.4,9116,14323.547357394722,2105.217351644043,7399.5147102285555
49035112202,1456,0,2.7,362,483,285,326,266,531,127,378,154,26,41,60,54,54,31,73,71,102,199,86,127,238,140,115,39,6112,2290,1255,2567,7480.047848998905,1597.6085166847147,3666.086162118108,22148.7,7334.4,11510.9,17694.583295019187,3627.5975340423997,9343.470148965542
49035113013,1352,9,3.84,83,363,206,700,74,196,173,419,490,15,0,0,28,9,22,0,11,31,37,117,173,257,162,296,194,1889,300,195,1394,8751.637080523717,1878.9715846863987,4568.191314832155,7673.4,2266.7999999999997,3829.2999999999997,6130.274709396047,1121.1602980703685,3108.2669679550468
49035113509,2233,133,3.18,422,658,409,744,490,907,373,390,73,43,45,6,128,26,242,142,110,84,288,283,373,252,138,58,15,1018,202,526,290,12519.47842655809,2504.112112105969,6001.751042859922,7137.9000000000005,1221.6,4319,5702.464076966931,604.2039086477688,3505.759547331849
49035102300,1634,541,1.75,1018,347,120,149,992,307,98,207,30,123,346,169,89,142,123,21,71,67,70,78,98,139,68,18,12,3802,920,221,2661,5513.713007194656,883.9316822376978,2164.4545831680093,12957.7,4562.4,6204.5,10351.898845614873,2256.5650890754587,5036.231792410385
49035113306,2107,199,2.85,482,699,439,487,965,666,223,171,82,215,79,167,44,174,286,84,116,103,180,183,223,113,58,27,55,837,91,115,631,11041.627605104844,1972.4845089257449,4976.022425091988,4713.1,1004.4,2733.6,3765.292794961101,496.7766910984111,2218.8803654981107
49035101101,1111,82,1.63,651,352,65,43,386,353,98,218,56,49,54,55,67,93,68,29,31,80,66,147,98,113,105,25,31,690,14,150,526,3703.9106821392797,760.50278818731,1806.340042897724,3888.5,828,2115,3106.5203439787488,409.5291718732421,1716.7588429281916
49035112920,1782,169,2.54,503,648,291,340,511,465,330,256,220,85,155,96,63,66,46,55,58,29,175,148,330,145,111,125,95,1357,107,476,774,8715.554870506112,1663.6596773103042,4473.706917897274,8029.7,1628.3999999999999,4443.5,6414.9225680972495,805.4073713507095,3606.8169827666284
49045130703,2655,106,3.47,358,765,380,1152,348,813,388,754,352,11,69,19,61,64,124,118,90,116,176,313,388,396,358,248,104,2537,1787,45,705,15915.317663353928,3354.409804541033,7605.994350474813,5954.9,3044.4,3685,4757.366078528751,1505.7616073078482,2991.1377476077478
49035113528,1457,0,3.63,54,420,232,751,146,475,407,309,120,11,20,9,22,84,0,21,7,42,99,306,407,245,64,80,40,68,53,0,15,9553.367836387675,1908.3743612135813,4681.978784577074,1109.5,81.6,921.6999999999999,886.3788920263397,40.359396648377476,748.1497047408577
49035113532,1015,5,3.15,147,343,169,356,150,271,214,279,101,27,8,49,9,31,26,26,0,63,77,105,214,192,87,91,10,473,41,15,417,5860.524181325427,1191.3746998660506,2824.797802981182,2324.7,567.6,1283.8,1857.201451368753,280.7352149218022,1042.0685591258687
49035113014,1455,8,3.28,236,408,234,577,143,415,328,348,221,25,58,8,0,25,27,42,38,21,87,227,328,212,136,157,64,1109,213,242,654,8484.036629022603,1744.3053926131608,4362.053427178236,5489.4,1330.8,3032.5,4385.4784045871,658.2142776919211,2461.499381172455
49035113408,1679,48,3.87,132,509,286,752,202,678,377,303,119,31,18,0,45,94,14,135,30,56,204,253,377,238,65,91,28,222,86,21,115,10504.417399606957,2135.3437037101025,5210.388413272993,1814.4,266.4,1310.1000000000001,1449.5230839951244,131.76155964617354,1063.4164350450233
49035113008,1771,8,3.7,110,538,337,786,85,298,179,580,629,0,12,7,46,10,10,54,8,20,15,201,179,274,306,317,312,757,176,14,567,11208.618836715475,2439.7594402345567,5873.546383199189,3465,908.4,2010.1999999999998,2768.186445129578,449.2950479826729,1631.6920217750596
49035102702,1114,97,3.5,115,347,170,482,489,447,109,57,12,171,23,65,67,46,117,58,68,44,97,180,109,57,0,12,0,1426,960,21,445,6805.287360291653,1258.6695865230297,2953.070004850956,3185.7,1711.2,1870.1000000000001,2545.0538407645877,846.3602885380337,1517.9719679243553
