GEOID,total_hhsE,no_vehE,avg_hh_sizeE,hh_1personE,hh_2personE,hh_3personE,hh_4person_plusE,inc_quint_1,inc_quint_2,inc_quint_3,inc_quint_4,inc_quint_5,inc_lt_10kE,inc_btw_10k_15kE,inc_btw_15k_20kE,inc_btw_20k_25kE,inc_btw_25k_30kE,inc_btw_30k_35kE,inc_btw_35k_40kE,inc_btw_40k_45kE,inc_btw_45k_50kE,inc_btw_50k_60kE,inc_btw_60k_75kE,inc_btw_75k_100kE,inc_btw_100k_125kE,inc_btw_125k_150kE,inc_btw_150k_200kE,inc_gt_200kE,total_emp,basic_emp,retail_emp,service_emp
49045130800,1732,57,3.22,291,434,403,604,534,449,150,394,205,104,49,96,11,175,99,16,20,116,45,252,150,227,167,109,96,1409,322,114,973
49045130900,1766,180,2.84,534,422,230,580,688,647,276,120,35,114,16,143,197,126,92,25,61,170,229,162,276,83,37,28,7,1505,35,641,829
49035113905,1914,33,3.91,160,531,254,969,300,795,392,349,78,44,30,91,15,26,94,94,163,89,144,305,392,218,131,61,17,1153,233,333,587
49035110104,1937,23,2.84,322,722,288,605,209,236,222,392,878,90,25,23,20,0,51,18,42,32,60,84,222,210,182,172,706,1512,142,208,1162
49035113701,1108,28,3.52,144,389,160,415,195,440,214,161,98,14,8,36,47,21,69,115,0,63,148,114,214,148,13,47,51,292,15,134,143
49035112700,1872,116,2.96,511,444,317,600,505,654,269,290,154,127,26,117,57,71,107,48,87,76,200,243,269,130,160,95,59,2541,504,200,1837
49035111400,2873,232,2.45,1003,983,267,620,667,1450,350,267,139,246,129,97,78,86,31,301,106,244,274,525,350,170,97,61,78,1560,126,389,1045
49035113907,2158,28,3.7,346,288,311,1213,234,734,477,562,151,30,24,59,14,64,43,59,137,72,308,158,477,420,142,101,50,1057,783,22,252
49035101400,677,122,2.48,184,326,54,113,412,152,82,2,29,149,26,16,101,77,43,44,6,50,35,17,82,2,0,12,17,25974,2010,15,23949
49035113523,1794,28,3.15,327,494,269,704,344,792,266,276,116,78,10,16,107,61,72,89,159,102,253,189,266,200,76,64,52,707,148,93,466
49035114700,1487,82,3.04,350,496,197,444,226,677,262,266,56,16,33,39,25,38,75,66,67,43,191,310,262,213,53,48,8,1839,1054,34,751
49035113904,1610,8,3.29,239,500,224,647,327,690,257,268,68,54,43,12,90,74,54,9,122,52,188,319,257,184,84,68,0,271,46,34,191
49035100800,1420,211,1.77,700,545,131,44,445,559,127,158,131,72,54,54,75,96,94,83,59,80,134,203,127,125,33,65,66,1176,81,84,1011
49035113407,2827,103,3.5,401,604,598,1224,351,782,649,792,253,53,24,66,56,74,78,63,56,155,240,268,649,548,244,198,55,2650,1075,762,813
49035113526,1403,9,4.23,84,304,240,775,176,553,315,285,74,10,0,20,0,86,60,63,32,56,143,259,315,164,121,25,49,1071,511,10,550
49035111701,2153,271,2.87,525,569,398,661,1065,595,243,169,81,111,215,205,195,149,190,114,155,124,144,58,243,68,101,43,38,1272,210,323,739
49035114500,2279,58,3.74,365,541,419,954,397,786,551,350,195,22,44,64,36,124,107,115,138,50,229,254,551,228,122,91,104,63805,39077,3321,21407
49035111905,1534,131,2.36,474,544,217,299,616,450,183,131,154,99,92,109,95,146,75,57,90,24,123,156,183,75,56,95,59,2032,168,309,1555
49035110102,1572,9,2.6,300,676,249,347,147,330,114,294,687,9,23,35,29,17,34,44,51,25,87,123,114,183,111,138,549,3460,90,13,3357
49035111002,2316,104,2.4,792,813,266,445,309,602,215,569,621,76,39,27,91,48,28,23,30,118,136,295,215,330,239,290,331,12054,2338,343,9373
49035110800,2174,121,2.6,612,815,239,508,413,795,282,242,442,70,81,68,0,72,122,98,117,131,212,237,282,156,86,103,339,24031,298,421,23312
49035113906,1452,166,2.83,445,338,274,395,488,702,92,106,64,94,99,85,37,87,86,43,127,89,182,261,92,89,17,54,10,6657,5320,198,1139
49035113522,1071,0,3.21,187,395,196,293,139,264,278,205,185,12,30,24,14,50,9,40,9,16,56,143,278,159,46,99,86,325,39,38,248
49035111305,1416,51,2.77,257,531,249,379,230,365,217,239,365,80,0,26,41,25,58,52,51,77,91,94,217,159,80,212,153,1206,91,128,987
49035111001,1436,25,2.91,255,501,315,365,180,308,118,285,545,70,35,15,6,41,13,32,27,58,62,129,118,176,109,197,348,1226,109,283,834
49035110401,1391,266,2.4,564,327,196,304,345,378,167,232,269,32,47,54,116,75,21,27,51,91,87,122,167,143,89,74,195,2207,191,316,1700
49035101600,1732,370,2.07,807,485,270,170,724,472,134,237,165,242,95,120,74,91,102,92,65,69,104,142,134,97,140,88,77,836,23,151,662
49035113307,1896,54,3.48,414,464,225,793,508,872,211,243,62,80,179,124,59,10,56,48,168,118,300,238,211,159,84,30,32,9391,6140,157,3094
49035113525,1895,21,4.53,82,364,286,1163,59,592,354,642,248,9,0,7,0,43,0,41,108,87,125,231,354,471,171,98,150,2885,2185,22,678
49035113534,2038,40,3.82,185,430,409,1014,88,531,447,681,291,0,0,20,10,6,52,33,93,23,174,208,447,406,275,237,54,277,94,25,158
49035112918,1727,29,3.2,313,511,300,603,243,845,262,231,146,54,30,0,23,55,81,156,33,98,270,288,262,102,129,111,35,4097,875,797,2425
49035113535,2071,32,3.99,71,498,264,1238,55,471,426,757,362,0,0,0,10,21,24,15,10,33,151,262,426,536,221,220,142,666,68,179,419
49035102900,2470,643,2.12,1138,781,289,262,1221,795,374,45,35,249,268,331,143,118,112,99,156,110,141,289,374,14,31,26,9,11050,3838,2922,4290
49035113539,1232,17,4.05,45,305,308,574,80,443,239,352,118,8,11,29,0,19,13,39,75,11,91,227,239,302,50,92,26,290,73,53,164
49035113515,2187,108,2.81,441,917,259,570,461,754,371,442,159,60,0,60,131,99,111,115,81,92,214,252,371,252,190,80,79,1712,61,531,1120
49035104300,1241,26,2.38,426,384,191,240,194,375,143,371,158,40,0,47,42,32,33,51,74,33,171,46,143,228,143,98,60,1532,21,158,1353
49035112614,1147,48,3.31,179,375,167,426,175,197,177,270,328,0,39,9,70,37,20,10,59,11,47,70,177,123,147,164,164,435,72,4,359
49035112100,3486,231,2.59,1001,1332,436,717,782,1335,732,351,286,157,130,93,118,192,92,134,275,58,406,462,732,227,124,215,71,15896,3190,1372,11334
49035112619,1047,5,3.03,161,421,107,358,105,165,171,279,327,24,0,13,28,40,0,0,0,23,79,63,171,104,175,175,152,327,59,11,257
49045131001,770,12,3.97,56,166,137,411,68,212,184,195,111,13,8,16,22,2,7,25,30,33,43,81,184,96,99,60,51,346,20,70,256
49035115106,4264,21,4,395,937,679,2253,201,860,607,1503,1093,13,36,18,0,54,80,101,33,108,129,489,607,846,657,519,574,1738,524,84,1130
49035103500,1666,32,2.29,520,626,261,259,277,436,215,313,425,40,32,45,61,70,29,76,90,31,78,161,215,222,91,174,251,541,55,45,441
49035113410,1665,52,4.1,209,425,252,779,371,590,308,297,99,7,53,35,73,113,90,65,62,79,138,246,308,207,90,72,27,1231,74,501,656
