fromId,toId,transit_time,access_time,wait_time,ride_time,transfer_time,egress_time,combined_time,routes,n_rides,car_time,walk_time,bike_time
49035113521,49035112700,65,14.6,10.8,31.6,1,7.9,65.9,2053|5907,2,15,NA,110
49035113521,49035111400,67,14.6,5.699999999999999,35.3,2.8,8.6,67,2053|27610,2,13,NA,106
49035113521,49035101400,101,14.6,14.5,52.9,4,15.4,101.4,2053|8246,2,26,NA,NA
49035113521,49035114700,114,14.6,13.8,57.4,3.2,25.4,114.4,2053|45407|45407,3,19,NA,NA
49035113521,49035113904,69,15.7,12.6,26.7,4.9,9.8,69.8,51572|34520|2332,3,16,NA,85
49035113521,49035100800,76,14.6,9.5,38.6,5.2,8.5,76.5,2053|41065|5907,3,19,NA,NA
49035113521,49035113407,75,15.7,7.5,22.8,0,29.3,75.3,51572|34520,2,14,NA,75
49035113521,49035113526,83,14.5,24.7,10.2,0,34,83.4,2053,1,13,NA,68
49035113521,49035111701,62,14.6,5.699999999999999,29.5,2.8,9.9,62.5,2053|27610,2,12,NA,96
49035113521,49035111905,67,14.6,14.699999999999998,30.5,1.1,6.7,67.6,2053|2343,2,12,NA,93
49035113521,49035111002,114,14.6,32,49.900000000000006,1.8,16,114.3,2053|5907|2069,3,15,NA,NA
49035113521,49035110800,79,14.6,14.699999999999998,40.2,1.1,9,79.7,2053|2343,2,15,NA,NA
49035113521,49035113522,39,14.6,3.8,3.3,0,17.5,39.2,2053,1,5,39,20
49035113521,49035111305,104,14.6,32,43.400000000000006,1.8,12.7,104.5,2053|5907|2069,3,14,NA,NA
49035113521,49035110401,84,14.6,7.1,40.9,5.4,16.5,84.5,2053|27610|2328,3,17,NA,NA
49035113521,49035101600,96,14.6,15.3,53.1,4.5,8.7,96.2,2053|41065|45418,3,20,NA,NA
49035113521,49035113307,80,15.7,15.200000000000001,20.6,2.5,26,80,51572|34505,2,9,118,50
49035113521,49035113534,75,14.5,24.7,14,0,22.1,75.3,2053,1,12,NA,68
49035113521,49035112918,81,18.3,21.5,23.2,0.3,18.4,81.8,87442|45424,2,13,NA,70
49035113521,49035113535,70,15.7,12.600000000000001,20.9,0.6,20.9,70.8,51572|34520,2,12,NA,81
49035113521,49035102900,69,14.6,7.5,30.9,4,12.9,69.9,2053|5907,2,16,NA,102
49035113521,49035113539,42,15.7,6.4,8.9,0,11.7,42.8,51572,1,7,77,34
49035113521,49035113515,41,14.6,3.8,8.7,0,14.3,41.5,2053,1,7,86,45
49035113521,49035104300,102,14.6,10,49.099999999999994,5.5,23,102.1,2053|5907|2022,3,19,NA,NA
49035113521,49035112100,42,14.6,3.8,13.7,0,10.4,42.6,2053,1,9,NA,68
49035113521,49035112619,116,14.6,25,54.5,4.2,18.1,116.4,2053|2343|45418,3,17,NA,NA
49035113521,49035103500,90,14.6,20.2,41.3,6.3,7.7,90.1,2053|5907|45409,3,18,NA,NA
49035113521,49035113410,56,18.7,13.700000000000001,9.6,0.6,14.3,56.9,87442|51294,2,6,79,37
49035113521,49035104800,86,14.6,16.200000000000003,47.5,1.5,7.1,86.8,2053|2343|32878,3,17,NA,NA
49035113521,49035112611,97,14.6,28.1,36.6,2.7,15,97,2053|5907|32878,3,15,NA,NA
49035113521,49035111600,72,14.6,17.6,22.5,3.2,14.4,72.4,2053|45407|51295,3,12,NA,72
49035113521,49035113511,51,14.6,8.8,13.5,3.2,11.2,51.3,2053|45407,2,8,88,40
49035113521,49035113802,42,15.7,6.4,6.5,0,13.5,42.1,51572,1,6,66,31
49035113521,49035110702,91,14.6,17.6,41.4,3.2,14.4,91.2,2053|45407|51295,3,16,NA,NA
49035113521,49035113505,45,15.7,6.4,4.4,0,18.6,45.2,51572,1,6,50,25
49035113521,49035113803,64,14.5,24.7,6.8,0,18.9,64.8,2053,1,8,84,50
